state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
NSW,8/04/2021,2,140551,6228,NA,NA,NA
NSW,7/04/2021,6,134323,6984,NA,NA,NA
NSW,6/04/2021,7,127339,813,NA,NA,NA
NSW,5/04/2021,3,126526,32,NA,NA,NA
NSW,4/04/2021,1,126494,1299,NA,NA,NA
NSW,3/04/2021,3,125195,839,NA,NA,NA
NSW,2/04/2021,0,124356,6956,NA,NA,NA
NSW,1/04/2021,4,117400,17400,NA,NA,NA
NSW,31/03/2021,4,1.00E+05,0,NA,NA,NA
NSW,30/03/2021,5,1.00E+05,3727,NA,NA,NA
NSW,29/03/2021,2,96273,0,NA,NA,NA
NSW,28/03/2021,0,96273,0,NA,NA,NA
NSW,27/03/2021,3,96273,7077,NA,NA,NA
NSW,26/03/2021,3,89196,16253,NA,NA,NA
NSW,25/03/2021,5,72943,0,NA,NA,NA
NSW,24/03/2021,3,72943,0,NA,NA,NA
NSW,23/03/2021,4,72943,8059,NA,NA,NA
NSW,22/03/2021,5,64884,13277,NA,NA,NA
NSW,21/03/2021,2,51607,0,NA,NA,NA
NSW,20/03/2021,3,51607,0,NA,NA,NA
NSW,19/03/2021,5,51607,0,NA,NA,NA
NSW,18/03/2021,3,51607,4787,NA,NA,NA
NSW,17/03/2021,7,46820,5376,NA,NA,NA
NSW,16/03/2021,2,41444,3891,NA,NA,NA
NSW,15/03/2021,4,37553,733,NA,NA,NA
NSW,14/03/2021,3,36820,0,NA,NA,NA
NSW,13/03/2021,1,36820,5507,NA,NA,NA
NSW,12/03/2021,8,31313,0,NA,NA,NA
NSW,11/03/2021,6,31313,4313,NA,NA,NA
NSW,10/03/2021,5,27000,3077,NA,NA,NA
NSW,9/03/2021,6,23923,2160,NA,NA,NA
NSW,8/03/2021,1,21763,1869,NA,NA,NA
NSW,7/03/2021,2,19894,0,NA,NA,NA
NSW,6/03/2021,3,19894,0,NA,NA,NA
NSW,5/03/2021,12,19894,3089,NA,NA,NA
NSW,4/03/2021,4,16805,2205,NA,NA,NA
NSW,3/03/2021,6,14600,2176,NA,NA,NA
NSW,2/03/2021,3,12424,2085,NA,NA,NA
NSW,1/03/2021,3,10339,2839,NA,NA,NA
NSW,28/02/2021,5,7500,0,NA,NA,NA
NSW,27/02/2021,6,7500,0,NA,NA,NA
NSW,26/02/2021,4,7500,2000,NA,NA,NA
NSW,25/02/2021,7,5500,2300,NA,NA,NA
NSW,24/02/2021,1,3200,1880,NA,NA,NA
NSW,23/02/2021,4,1320,1300,NA,NA,NA
NSW,22/02/2021,1,20,20,NA,NA,NA
NSW,21/02/2021,3,0,0,NA,NA,NA
NSW,20/02/2021,1,0,0,NA,NA,NA
NSW,19/02/2021,2,0,0,NA,NA,NA
NSW,18/02/2021,0,0,0,NA,NA,NA
NSW,17/02/2021,4,0,0,NA,NA,NA
NSW,16/02/2021,1,0,0,NA,NA,NA
NSW,15/02/2021,0,0,0,NA,NA,NA
QLD,5/09/2021,1,3636463,0,NA,NA,NA
QLD,4/09/2021,2,3636463,46663,NA,NA,NA
QLD,3/09/2021,0,3589800,49750,NA,NA,NA
QLD,2/09/2021,2,3540050,48933,NA,NA,NA
QLD,1/09/2021,1,3491117,46359,NA,NA,NA
QLD,31/08/2021,0,3444758,34616,NA,NA,NA
QLD,30/08/2021,2,3410142,20525,0.418333333,0.07,0.511666667
QLD,29/08/2021,1,3389617,30669,0.665,0.0425,0.2925
QLD,28/08/2021,4,3358948,47310,NA,NA,NA
QLD,27/08/2021,1,3311638,54789,0.608,0.048,0.344
QLD,26/08/2021,2,3256849,52941,0.54,0.0875,0.3725
QLD,25/08/2021,0,3203908,47283,0.526,0.042,0.432
QLD,24/08/2021,6,3156625,36014,0.442,0.048,0.51
QLD,23/08/2021,2,3120611,19361,0.51,0.043333333,0.446666667
QLD,22/08/2021,0,3101250,30907,0.495,0.088333333,0.416666667
QLD,21/08/2021,2,3070343,51286,0.566,0.05,0.384
QLD,20/08/2021,1,3019057,47215,0.53,0.036666667,0.433333333
QLD,19/08/2021,0,2971842,50117,0.633333333,0.04,0.326666667
QLD,18/08/2021,4,2921725,45592,0.521666667,0.05,0.428333333
QLD,17/08/2021,2,2876133,38375,0.6925,0.02,0.2875
QLD,16/08/2021,0,2837758,11598,0.478571429,0.032857143,0.488571429
QLD,15/08/2021,1,2826160,24804,0.732,0.034,0.234
QLD,14/08/2021,7,2801356,46421,0.732,0.034,0.234
QLD,13/08/2021,8,2754935,48815,0.56,0.042,0.398
QLD,12/08/2021,11,2706120,46691,0.5425,0.0425,0.415
QLD,11/08/2021,4,2659429,47451,0.666,0.044,0.29
QLD,10/08/2021,3,2611978,37938,0.568571429,0.072857143,0.358571429
QLD,9/08/2021,5,2574040,11022,0.598333333,0.075,0.326666667
QLD,8/08/2021,9,2563018,22169,0.482857143,0.08,0.437142857
QLD,7/08/2021,13,2540849,46047,0.4475,0.0825,0.47
QLD,6/08/2021,10,2494802,49957,0.562,0.042,0.396
QLD,5/08/2021,27,2444845,47485,0.562,0.042,0.396
QLD,4/08/2021,19,2397360,44275,0.50375,0.08125,0.415
QLD,3/08/2021,16,2353085,34704,0.47375,0.075,0.45125
QLD,2/08/2021,15,2318381,8141,0.444285714,0.077142857,0.478571429
QLD,1/08/2021,9,2310240,13563,0.34,0.053333333,0.606666667
QLD,31/07/2021,7,2296677,33697,NA,NA,NA
QLD,30/07/2021,2,2262980,35785,0.376666667,0.043333333,0.58
QLD,29/07/2021,1,2227195,34736,0.5225,0.045,0.4325
QLD,28/07/2021,20,2192459,34175,0.4,0.076,0.524
QLD,27/07/2021,0,2158284,27187,0.385,0.09,0.525
QLD,26/07/2021,1,2131097,6886,0.468,0.046,0.486
QLD,25/07/2021,5,2124211,14448,0.456666667,0.046666667,0.496666667
QLD,24/07/2021,0,2109763,31091,NA,NA,NA
QLD,23/07/2021,3,2078672,33367,0.516,0.068,0.416
QLD,22/07/2021,0,2045305,32136,0.481428571,0.042857143,0.475714286
QLD,21/07/2021,1,2013169,33205,NA,NA,NA
QLD,20/07/2021,3,1979964,25763,0.43,0.0475,0.5225
QLD,19/07/2021,2,1954201,5536,0.44,0.062,0.498
QLD,18/07/2021,1,1948665,14898,NA,NA,NA
